Date,IB_USD_TND,IB_EUR_TND,IB_GBP_TND,IB_JPY_TND,FIX_USD_Bid,FIX_USD_Ask,FIX_USD_Mid,FIX_EUR_Bid,FIX_EUR_Ask,FIX_EUR_Mid,EUR_USD,GBP_USD,USD_JPY,SPREAD_USD,SPREAD_EUR,ret_EUR_USD,ret_GBP_USD,ret_USD_JPY,ret_FIX_USD
2020-06-02,2.8694,3.1973,3.585,26.4995,2.8565,2.8593,2.8579,3.1887,3.1918,3.19025,1.1169,1.2549,108.66,0.011500000000000288,0.007050000000000001,0.003138593797373565,0.004552541707338764,0.0099889842782801,-0.003841591649089926
2020-06-03,2.8594,3.2055,3.5907,26.2432,2.8517,2.8545,2.8531,3.1937,3.1968,3.19525,1.1232,1.2572,108.89,0.006299999999999972,0.010249999999999648,0.005624763724765752,0.001831137807150246,0.0021144572345930257,-0.0016809669515882586
2020-06-04,2.8611,3.2072,3.5805,26.2332,2.8566,2.8595,2.85805,3.2003,3.2035,3.2019,1.1336,1.2594,109.13,0.003049999999999997,0.005299999999999638,0.009216655104923976,0.001748391131229765,0.0022016337670285324,0.0017334516654272658
2020-06-05,2.8512,3.2192,3.5831,25.9788,2.8385,2.8414,2.83995,3.2143,3.2176,3.21595,1.1284,1.2663,109.58,0.011249999999999982,0.003249999999999975,-0.004597709248629345,0.005463845401920381,0.004115043985271072,-0.006353127721887786
2020-06-08,2.8544,3.2178,3.601,26.031,2.839,2.8419,2.84045,3.2098,3.2131,3.21145,1.1292,1.2722,108.42,0.013949999999999907,0.006349999999999856,0.0007087172514929491,0.004648422788141121,-0.010642302278077054,0.00017604394102210819
2020-06-09,2.8603,3.2115,3.5979,26.2481,2.8334,2.8363,2.83485,3.2122,3.2155,3.21385,1.134,1.2729,107.72,0.025450000000000195,-0.002349999999999852,0.004241787908363062,0.000550076631684937,-0.006477305888793694,-0.0019734645983340293
2020-06-10,2.846,3.2192,3.6067,26.3483,2.8282,2.831,2.8296,3.2128,3.2161,3.21445,1.1369,1.2745,107.09,0.01639999999999997,0.004750000000000032,0.0025540548473636238,0.001256182939781303,-0.005865665530614628,-0.0018536668178852356
2020-06-11,2.847,3.2361,3.5763,26.4589,2.8293,2.8322,2.83075,3.2141,3.2173,3.2157,1.1297,1.26,106.85,0.016249999999999876,0.020399999999999974,-0.0063531494021779045,-0.011442223870646417,-0.002243620647627509,0.0004063353028780359
2020-06-12,2.8382,3.2313,3.5726,26.4642,2.8413,2.8441,2.8427,3.2072,3.2105,3.20885,1.1254,1.254,107.34,-0.0044999999999997264,0.02245000000000008,-0.0038135827337044542,-0.004773278752657678,0.004575384983525943,0.004212610553416374
2020-06-15,2.8573,3.2163,3.575,26.4869,2.8429,2.8458,2.84435,3.2055,3.2088,3.20715,1.1322,1.2602,107.31,0.012950000000000017,0.009149999999999991,0.0060241146033810505,0.004931996315089088,-0.0002795248096463254,0.000580265707633254
2020-06-16,2.849,3.2352,3.5908,26.4625,2.8435,2.8463,2.8449,3.2038,3.207,3.2054,1.1263,1.2574,107.32,0.004100000000000215,0.029799999999999827,-0.005224718548908713,-0.0022243415589943416,9.318361838683842e-05,0.00019334710259300003
2020-06-17,2.8568,3.2331,3.5757,26.5885,2.852,2.8548,2.8534,3.1994,3.2026,3.201,1.1243,1.2554,107.0,0.0033999999999996255,0.032099999999999795,-0.0017773042979369047,-0.0015918500655293377,-0.002986191095517121,0.002983348122922669
2020-06-18,2.8617,3.2327,3.546,26.7196,2.8531,2.8559,2.8545,3.2004,3.2036,3.202,1.1202,1.2424,106.96,0.007200000000000095,0.03069999999999995,-0.003653378979981997,-0.010409254048954153,-0.00037390166821804627,0.0003854307235997556
2020-06-19,2.8673,3.2266,3.5335,26.7005,2.8528,2.8556,2.8542,3.2021,3.2053,3.2037,1.1175,1.2356,106.87,0.013100000000000112,0.02289999999999992,-0.002413193288008153,-0.0054883107900506045,-0.0008417902568824687,-0.00010510273802299963
2020-06-22,2.8717,3.2278,3.5438,26.6728,2.8493,2.8521,2.8507,3.2042,3.2075,3.20585,1.1258,1.2461,106.87,0.02100000000000035,0.021949999999999914,0.007399846542202285,0.0084619919043952,0.0,-0.001227015526696018
2020-06-23,2.8521,3.235,3.5388,26.6621,2.8337,2.8366,2.83515,3.2108,3.214,3.2124,1.1306,1.2518,106.51,0.01695000000000002,0.02259999999999973,0.004254571211264338,0.0045638415417792455,-0.003374265081730776,-0.00546973232451986
